BeerID,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount
64947,170,18.93,1.052,1.014,5.09,13.62,4.45,7.57,60,1.121,35,N/A,Specific Gravity,extract,0.5,22.22,N/A,N/A
41976,132,23,1.127,1.043,10.98,66.86,43.17,28,90,1.104,75,3,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
25400,147,48,1.072,1.015,7.42,43.41,6.02,56,60,1.062,83,3.2,Specific Gravity,All Grain,0.75,N/A,N/A,N/A
65843,10,20.82,1.042,1.008,4.38,32.58,5.69,26.5,60,1.033,63,1.5,Specific Gravity,All Grain,0.35,20.56,N/A,N/A
11797,10,18.93,1.056,1.014,5.45,0,7.36,24.61,90,N/A,75,1.38,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
20648,7,20.82,1.077,1.021,7.44,54.13,4.82,28.39,60,1.057,75,N/A,Specific Gravity,All Grain,0.75,21.11,N/A,N/A
61658,94,18.9,1.049,1.012,4.87,19.06,3.77,28.4,90,1.033,80,3,Specific Gravity,All Grain,0.75,20,N/A,N/A
12944,23,18.93,1.089,1.016,9.61,34.1,3.54,26.5,60,1.064,85,1.5,Specific Gravity,All Grain,0.75,20,N/A,N/A
12152,86,18.93,1.069,1.021,6.21,70.7,10.22,15.14,60,1.086,70,N/A,Specific Gravity,Partial Mash,1,17.78,N/A,N/A
53098,39,22.71,1.051,1.016,4.57,36.53,11.64,24.61,60,1.047,68,1.25,Specific Gravity,All Grain,N/A,15.56,dextrose,N/A
11761,129,25,1.233,1.058,23.03,26.94,50,25,60,1.233,70,N/A,Specific Gravity,Partial Mash,N/A,N/A,N/A,N/A
39231,132,25,1.082,1.019,8.38,37.35,39.26,33,60,1.062,75,2.7,Specific Gravity,All Grain,1,20,Force,N/A
35031,130,22.71,1.055,1.014,5.33,19.11,17.19,30.28,60,1.041,75,N/A,Specific Gravity,BIAB,N/A,16.67,N/A,N/A
61977,7,41.64,1.066,1.015,6.71,72.65,12.23,48.26,60,1.057,70,1.15,Specific Gravity,All Grain,0.5,20,N/A,N/A
67899,12,21,1.051,1.009,5.57,50.68,30.64,25,60,1.043,75,3,Specific Gravity,All Grain,N/A,21,N/A,N/A
562,92,18.93,1.062,1.02,5.48,28.16,22.28,22.71,60,1.052,70,N/A,Specific Gravity,BIAB,0.35,18.33,N/A,N/A
4393,129,25,1.049,1.007,5.52,42.89,30.08,34,60,1.036,75,2.5,Specific Gravity,All Grain,0.75,20,N/A,N/A
51219,21,20.82,1.103,1.017,11.34,21.6,31.02,30.28,90,1.071,70,1.5,Specific Gravity,All Grain,2,20,N/A,N/A
63672,10,15.1,1.042,1.008,4.5,85.59,6.44,10,60,1.063,35,N/A,Specific Gravity,extract,N/A,22,N/A,N/A
55323,7,18,1.061,1.015,6.03,135.21,9,22,60,1.05,69,3,Specific Gravity,All Grain,N/A,24,N/A,N/A
40118,10,22.71,1.071,1.02,6.71,147.07,6.3,32.18,60,1.05,60,1.33,Specific Gravity,All Grain,0.75,18.89,N/A,N/A
60729,14,359.61,1.038,1.009,3.71,11.69,3.67,416.4,60,1.033,68,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
45648,30,55,1.05,1.013,4.93,23.67,5.12,65,60,1.042,73,3,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
